Ejercicio,q,nombreQ,idMunicipio,programa,subPrograma,nombre,noLocalidad,ejecutor,obraOAccion,modalidad,situacion,federal,estatal,municipal,beneficiarios,otros,meta,metaCantidad,tipoBeneficiario,numeroMujeres,numeroHombres,fechaInicio,fechaTermino,tieneProyecto,tieneExpTec,coordenadas - descripcion,coordenadas - geometria,coordenadas - tipoCoordenada,coordenadas - esCentroDeObra,estatus,porcentajeAvance,idRubro,idEjeEstrategico
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,BIRRIA L J,,SDES,2,AD,IT,0,"$22,237.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CAFÉ CHUIN,,SDES,2,AD,IT,0,"$24,243.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CHOCOLATERIA DANYADY,,SDES,2,AD,IT,0,"$25,000.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PUNTO CERO,,SDES,2,AD,IT,0,"$42,300.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,LONCHERIA EDDYLU,,SDES,2,AD,IT,0,"$26,452.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,LONCHERIA EL PUNTO,,SDES,2,AD,IT,0,"$21,381.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TORTILLERIA ORTEGA,,SDES,2,AD,IT,0,"$13,870.12",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CHAVEZ MOTORS TALLER MECANICO,,SDES,2,AD,IT,0,"$25,444.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,LONCHERIA LA CHINA,,SDES,2,AD,IT,0,"$16,014.03",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PANADERIA MAXI,,SDES,2,AD,IT,0,"$42,952.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
